"","ST_CNTY_CODE","included_bc"
"228","51003","copperhead observations"
"229","1051","copperhead observations"
"230","34037","copperhead observations"
"231","47135","copperhead observations"
"232","29183","copperhead observations"
"233","36071","copperhead observations"
"234","45003","copperhead observations"
"235","51163","copperhead observations"
"236","37087","copperhead observations"
"237","21189","copperhead observations"
"238","1065","copperhead observations"
"239","13123","copperhead observations"
"240","47185","copperhead observations"
"241","39001","copperhead observations"
"242","28085","copperhead observations"
"243","54061","copperhead observations"
"244","37111","copperhead observations"
"245","42027","copperhead observations"
"246","5083","copperhead observations"
"247","24037","copperhead observations"
"248","21073","copperhead observations"
"249","5107","copperhead observations"
"250","45059","copperhead observations"
"251","5027","copperhead observations"
"252","5009","copperhead observations"
"253","9110","copperhead observations"
"254","36087","copperhead observations"
"255","22021","copperhead observations"
"256","40101","copperhead observations"
"257","5129","copperhead observations"
"258","47113","copperhead observations"
"259","24003","copperhead observations"
"260","21111","copperhead observations"
"261","18019","copperhead observations"
"262","24001","copperhead observations"
"263","21199","copperhead observations"
"264","42079","copperhead observations"
"265","21125","copperhead observations"
"266","54035","copperhead observations"
"267","42061","copperhead observations"
"268","37097","copperhead observations"
"269","51075","copperhead observations"
"270","28033","copperhead observations"
"271","13111","copperhead observations"
"272","21237","copperhead observations"
"273","47161","copperhead observations"
"274","5095","copperhead observations"
"275","1119","copperhead observations"
"276","5033","copperhead observations"
"277","51165","copperhead observations"
"278","5061","copperhead observations"
"279","22029","copperhead observations"
"280","51025","copperhead observations"
"281","40113","copperhead observations"
"282","29161","copperhead observations"
"283","48257","copperhead observations"
"284","34019","copperhead observations"
"285","13157","copperhead observations"
"286","29153","copperhead observations"
"287","51179","copperhead observations"
"288","18077","copperhead observations"
"289","21227","copperhead observations"
"290","29131","copperhead observations"
"291","29225","copperhead observations"
"292","29023","copperhead observations"
"293","21203","copperhead observations"
"294","5111","copperhead observations"
"295","47037","copperhead observations"
"296","21143","copperhead observations"
"297","21157","copperhead observations"
"298","51161","copperhead observations"
"299","9190","copperhead observations"
"300","29029","copperhead observations"
"301","20149","copperhead observations"
"302","47053","copperhead observations"
"303","21067","copperhead observations"
"304","29169","copperhead observations"
"305","54041","copperhead observations"
"306","29101","copperhead observations"
"307","29109","copperhead observations"
"308","51105","copperhead observations"
"309","5071","copperhead observations"
"310","47007","copperhead observations"
"311","37149","copperhead observations"
"312","29083","copperhead observations"
"313","42107","copperhead observations"
"314","5135","copperhead observations"
"315","54023","copperhead observations"
"316","21221","copperhead observations"
"317","47133","copperhead observations"
"318","29187","copperhead observations"
"319","1001","copperhead observations"
"320","47013","copperhead observations"
"321","29167","copperhead observations"
"322","29113","copperhead observations"
"323","47173","copperhead observations"
"324","47001","copperhead observations"
"325","51033","copperhead observations"
"326","47137","copperhead observations"
"327","42075","copperhead observations"
"328","13245","copperhead observations"
"329","29186","copperhead observations"
"330","29105","copperhead observations"
"331","36079","copperhead observations"
"332","47079","copperhead observations"
"333","54077","copperhead observations"
"334","28117","copperhead observations"
"335","42071","copperhead observations"
"336","51069","copperhead observations"
"337","51141","copperhead observations"
"338","42111","copperhead observations"
"339","18121","copperhead observations"
"340","34035","copperhead observations"
"341","51045","copperhead observations"
"342","47041","copperhead observations"
"343","18101","copperhead observations"
"344","29181","copperhead observations"
"345","22065","copperhead observations"
"346","29229","copperhead observations"
"347","39127","copperhead observations"
"348","28011","copperhead observations"
"349","37115","copperhead observations"
"350","13285","copperhead observations"
"351","29065","copperhead observations"
"352","29157","copperhead observations"
"353","37039","copperhead observations"
"354","29011","copperhead observations"
"355","42063","copperhead observations"
"356","21173","copperhead observations"
"357","54089","copperhead observations"
"358","54097","copperhead observations"
"359","21029","copperhead observations"
"360","1043","copperhead observations"
"361","51067","copperhead observations"
"362","18071","copperhead observations"
"363","5121","copperhead observations"
"364","54095","copperhead observations"
"365","54085","copperhead observations"
"366","28001","copperhead observations"
"367","22037","copperhead observations"
"368","28163","copperhead observations"
"369","47093","copperhead observations"
"370","28015","copperhead observations"
"371","21079","copperhead observations"
"372","51063","copperhead observations"
"373","28049","copperhead observations"
"374","42003","copperhead observations"
"375","20111","copperhead observations"
"376","37069","copperhead observations"
"377","54005","copperhead observations"
"378","21235","copperhead observations"
"379","5089","copperhead observations"
"380","47071","copperhead observations"
"381","51145","copperhead observations"
"382","29091","copperhead observations"
"383","1115","copperhead observations"
"384","18175","copperhead observations"
"385","21179","copperhead observations"
"386","29051","copperhead observations"
"387","51035","copperhead observations"
"388","5069","copperhead observations"
"389","47063","copperhead observations"
"390","22027","copperhead observations"
"391","28089","copperhead observations"
"392","34033","copperhead observations"
"393","51173","copperhead observations"
"394","39115","copperhead observations"
"395","1113","copperhead observations"
"396","45007","copperhead observations"
"397","21003","copperhead observations"
"398","5065","copperhead observations"
"399","17059","copperhead observations"
"400","5133","copperhead observations"
"401","28075","copperhead observations"
"402","51047","copperhead observations"
"403","21109","copperhead observations"
"404","42091","copperhead observations"
"405","20011","copperhead observations"
"406","5019","copperhead observations"
"407","42069","copperhead observations"
"408","21113","copperhead observations"
"409","5005","copperhead observations"
"410","47177","copperhead observations"
"411","20021","copperhead observations"
"412","29219","copperhead observations"
"413","37199","copperhead observations"
"414","9130","copperhead observations"
"415","47049","copperhead observations"
"416","54109","copperhead observations"
"417","51197","copperhead observations"
"418","37169","copperhead observations"
"419","42035","copperhead observations"
"420","37005","copperhead observations"
"421","18061","copperhead observations"
"422","17199","copperhead observations"
"423","42017","copperhead observations"
"424","54007","copperhead observations"
"425","29059","copperhead observations"
"426","29221","copperhead observations"
"427","21135","copperhead observations"
"428","28007","copperhead observations"
"429","47149","copperhead observations"
"430","17083","copperhead observations"
"431","21145","copperhead observations"
"432","47025","copperhead observations"
"433","5123","copperhead observations"
"434","37189","copperhead observations"
"435","47085","copperhead observations"
"436","47109","copperhead observations"
"437","40143","copperhead observations"
"438","47183","copperhead observations"
"439","28043","copperhead observations"
"440","40023","copperhead observations"
"441","24023","copperhead observations"
"442","17069","copperhead observations"
"443","28121","copperhead observations"
"444","40097","copperhead observations"
"445","34031","copperhead observations"
"446","21035","copperhead observations"
"447","28091","copperhead observations"
"448","40105","copperhead observations"
"449","40117","copperhead observations"
"450","29017","copperhead observations"
"451","1009","copperhead observations"
"452","40147","copperhead observations"
"453","17157","copperhead observations"
"454","47075","copperhead observations"
"455","47123","copperhead observations"
"456","47021","copperhead observations"
"457","21083","copperhead observations"
"458","24015","copperhead observations"
"459","1055","copperhead observations"
"460","17119","copperhead observations"
"461","18055","copperhead observations"
"462","21043","copperhead observations"
"463","20205","copperhead observations"
"464","51071","copperhead observations"
"465","21045","copperhead observations"
"466","18109","copperhead observations"
"467","47039","copperhead observations"
"468","21033","copperhead observations"
"469","37121","copperhead observations"
"470","20099","copperhead observations"
"471","39105","copperhead observations"
"472","42009","copperhead observations"
"473","18025","copperhead observations"
"474","20139","copperhead observations"
"475","21123","copperhead observations"
"476","28051","copperhead observations"
"477","21127","copperhead observations"
"478","28161","copperhead observations"
"479","47027","copperhead observations"
"480","20017","copperhead observations"
"481","5117","copperhead observations"
"482","54065","copperhead observations"
"483","54057","copperhead observations"
"484","10005","copperhead observations"
"485","28023","copperhead observations"
"486","17081","copperhead observations"
"487","29027","copperhead observations"
"488","47145","copperhead observations"
"489","20209","copperhead observations"
"490","37131","copperhead observations"
"491","5015","copperhead observations"
"492","51037","copperhead observations"
"493","28005","copperhead observations"
"494","54099","copperhead observations"
"495","47131","copperhead observations"
"496","54063","copperhead observations"
"497","51021","copperhead observations"
"498","42087","copperhead observations"
"499","21085","copperhead observations"
"500","42037","copperhead observations"
"501","29127","copperhead observations"
"502","54079","copperhead observations"
"503","54059","copperhead observations"
"504","47167","copperhead observations"
"505","40013","copperhead observations"
"506","54031","copperhead observations"
"507","39089","copperhead observations"
"508","54047","copperhead observations"
"509","13137","copperhead observations"
"510","54081","copperhead observations"
"511","42059","copperhead observations"
"512","47011","copperhead observations"
"513","54021","copperhead observations"
"514","28139","copperhead observations"
"515","51027","copperhead observations"
"516","51510","copperhead observations"
"517","51185","copperhead observations"
"518","40145","copperhead observations"
"519","37185","copperhead observations"
"520","29057","copperhead observations"
"521","21153","copperhead observations"
"522","47147","copperhead observations"
"523","28079","copperhead observations"
"524","28029","copperhead observations"
"525","21137","copperhead observations"
"526","48097","copperhead observations"
"527","28081","copperhead observations"
"528","20001","copperhead observations"
"529","22083","copperhead observations"
"530","29085","copperhead observations"
"531","13047","copperhead observations"
"532","29149","copperhead observations"
"533","28003","copperhead observations"
"534","42077","copperhead observations"
"535","47017","copperhead observations"
"536","21089","copperhead observations"
"537","54103","copperhead observations"
"538","21115","copperhead observations"
"539","54013","copperhead observations"
"540","28129","copperhead observations"
"541","21119","copperhead observations"
"542","28119","copperhead observations"
"543","29089","copperhead observations"
"544","54025","copperhead observations"
"545","28113","copperhead observations"
"546","1085","copperhead observations"
"547","47033","copperhead observations"
"548","47055","copperhead observations"
"549","28021","copperhead observations"
"550","22025","copperhead observations"
"551","24041","copperhead observations"
"552","5077","copperhead observations"
"553","29201","copperhead observations"
"554","18163","copperhead observations"
"555","18045","copperhead observations"
"556","21159","copperhead observations"
"557","42067","copperhead observations"
"558","51031","copperhead observations"
"559","21019","copperhead observations"
"560","47111","copperhead observations"
"561","51077","copperhead observations"
"562","39163","copperhead observations"
"563","29185","copperhead observations"
"564","42013","copperhead observations"
"565","54075","copperhead observations"
"566","18143","copperhead observations"
"567","18123","copperhead observations"
"568","28149","copperhead observations"
"569","21005","copperhead observations"
"570","54001","copperhead observations"
"571","21139","copperhead observations"
"572","42019","copperhead observations"
"573","18117","copperhead observations"
"574","21053","within copperhead range"
"575","01027","within copperhead range"
"576","13189","within copperhead range"
"577","05137","within copperhead range"
"578","42007","within copperhead range"
"579","28061","within copperhead range"
"580","29083","within copperhead range"
"581","37037","within copperhead range"
"582","40001","within copperhead range"
"583","51775","within copperhead range"
"584","51121","within copperhead range"
"585","47065","within copperhead range"
"586","01091","within copperhead range"
"587","29011","within copperhead range"
"588","51735","within copperhead range"
"589","54075","within copperhead range"
"590","51095","within copperhead range"
"591","22019","within copperhead range"
"592","22111","within copperhead range"
"593","40135","within copperhead range"
"594","01049","within copperhead range"
"595","42053","within copperhead range"
"596","22105","within copperhead range"
"597","51179","within copperhead range"
"598","13171","within copperhead range"
"599","48361","within copperhead range"
"600","39047","within copperhead range"
"601","25015","within copperhead range"
"602","21003","within copperhead range"
"603","37001","within copperhead range"
"604","20073","within copperhead range"
"605","25025","within copperhead range"
"606","47115","within copperhead range"
"607","21231","within copperhead range"
"608","47185","within copperhead range"
"609","48147","within copperhead range"
"610","20043","within copperhead range"
"611","12131","within copperhead range"
"612","28017","within copperhead range"
"613","20157","within copperhead range"
"614","13115","within copperhead range"
"615","17067","within copperhead range"
"616","37057","within copperhead range"
"617","17025","within copperhead range"
"618","29103","within copperhead range"
"619","29117","within copperhead range"
"620","51181","within copperhead range"
